aggregate,key,count,mean_cosine_similarity,min_cosine_similarity,max_cosine_similarity
layer_head,17/7,46,0.941476508975029,0.46133169531822205,0.9978214502334595
layer_head,17/8,46,0.8779733245787413,0.5250928997993469,0.9914392232894897
layer_head,17/9,46,0.45183112087619043,0.0289682038128376,0.993133544921875
layer_head,18/0,46,0.9540456663007322,0.7809059023857117,0.9988091588020325
layer_head,18/1,46,0.5248550886045331,0.011964704841375351,0.9896538257598877
layer_head,18/10,46,0.8002926474032195,0.08975237607955933,0.9983532428741455
layer_head,18/11,46,0.33698220615801605,0.027754634618759155,0.8719073534011841
layer_head,18/12,46,0.9722742739578952,0.13214470446109772,0.9998246431350708
layer_head,18/13,46,0.9980195657066677,0.9921475648880005,0.9998611807823181
layer_head,18/14,46,0.9975301908410114,0.9752278923988342,0.9996467232704163
layer_head,18/15,46,0.5956196278920802,0.005182077642530203,0.9992871880531311
layer_head,18/16,46,0.981943147337955,0.7118368148803711,0.9999061822891235
layer_head,18/17,46,0.818666614268137,0.1081022173166275,0.9979214072227478
layer_head,18/18,46,0.940286591001179,0.4645680785179138,0.9991226196289062
layer_head,18/19,46,0.8559268275680749,0.22441305220127106,0.9989725351333618
layer_head,18/2,46,0.9799318430216416,0.680020809173584,0.999835729598999
layer_head,18/20,46,0.9259166613869045,0.5950238704681396,0.9970822930335999
layer_head,18/21,46,0.9315612082896025,0.6549811363220215,0.994019091129303
layer_head,18/22,46,0.9182897048152011,0.3162512183189392,0.9999040365219116
layer_head,18/23,46,0.9961412510146266,0.9743775725364685,0.9999141693115234
layer_head,18/3,46,0.9587139707544575,0.7525309920310974,0.9982379674911499
layer_head,18/4,46,0.9871542090954988,0.8337936997413635,0.9995264410972595
layer_head,18/5,46,0.9618655993886616,0.3061662018299103,0.9997690916061401
layer_head,18/6,46,0.9340120087499204,0.7195664644241333,0.9999139308929443
layer_head,18/7,46,0.9214926715130392,0.12474475800991058,0.9994586110115051
layer_head,18/8,46,0.9314287810221963,0.7763707637786865,0.9968858957290649
layer_head,18/9,46,0.9014628710954086,0.6971116662025452,0.9939339756965637
layer_head,19/0,46,0.8179373890161514,0.4657757580280304,0.9985413551330566
layer_head,19/1,46,0.6611941523379241,0.001212693634442985,0.9911141395568848
layer_head,19/10,46,0.9971802377182505,0.9866188168525696,0.999881386756897
layer_head,19/11,46,0.9909031041290449,0.9292401671409607,0.9999251961708069
layer_head,19/12,46,0.9944946558579154,0.9768751859664917,0.9995610117912292
layer_head,19/13,46,0.9925778819167096,0.85809326171875,0.9999744892120361
layer_head,19/14,46,0.9094500684219858,0.4433767795562744,0.9937530159950256
layer_head,19/15,46,0.8893568671267965,0.19231733679771423,0.9980921745300293
layer_head,19/16,46,0.827549929852071,0.2022666037082672,0.9991341233253479
layer_head,19/17,46,0.8355291469589524,0.09852206707000732,0.9957903027534485
layer_head,19/18,46,0.9956342085548069,0.9712487459182739,0.9997764825820923
layer_head,19/19,46,0.9733670340931934,0.8421885371208191,0.9994702935218811
