aggregate,key,count,mean_cosine_similarity,min_cosine_similarity,max_cosine_similarity
layer,15,1104,0.5094360692725615,-0.07606633007526398,0.9196557402610779
layer,16,1104,0.584585804525557,-0.5351818799972534,0.9726368188858032
layer,17,1104,0.5066906627583101,-0.14956720173358917,0.9146135449409485
layer,18,1104,0.5134795505766069,-0.1168934777379036,0.9685030579566956
layer,19,1104,0.5275357477312091,-0.301097571849823,0.9468069672584534
layer,2,1104,0.8455758190484367,-0.48251479864120483,0.9843354821205139
layer,20,1104,0.5228160726655915,-0.2570468783378601,0.9393163323402405
layer,21,1104,0.5511816657773928,-0.13094742596149445,0.9697058200836182
layer,22,1104,0.5557472583977737,-0.0951940268278122,0.9584190845489502
layer,23,1104,0.4912288600601681,-0.1798325777053833,0.9407038688659668
layer,24,1104,0.6143831426777162,-0.09595128893852234,0.9573696851730347
layer,25,1104,0.5657883542400036,-0.20623508095741272,0.9935644865036011
layer,26,1104,0.5037984300317897,-0.14865538477897644,0.957832932472229
layer,27,1104,0.5742409080444106,-0.15249739587306976,0.9213578104972839
layer,3,1104,0.8120473417844893,0.21031972765922546,0.9802291393280029
layer,4,1104,0.744894015626388,0.043490614742040634,0.9937272667884827
layer,5,1104,0.6396686935804082,-0.3237588405609131,0.9939346313476562
layer,6,1104,0.524893269585648,-0.349087655544281,0.9644649624824524
layer,7,1104,0.5267268476011362,-0.2527890205383301,0.9873663187026978
layer,8,1104,0.5478885449689266,-0.2522584795951843,0.9628761410713196
layer,9,1104,0.5158429960631664,-0.2401522696018219,0.929268479347229
layer_head,0/0,46,0.9625706620838331,0.8958775401115417,0.9996862411499023
layer_head,0/1,46,0.9904735878757809,0.9203532338142395,0.9998955726623535
layer_head,0/10,46,0.9093529607938684,0.854933500289917,0.957649827003479
layer_head,0/11,46,0.9157896728619285,0.8440130949020386,0.9952402114868164
layer_head,0/12,46,0.9486878643865171,0.8898831009864807,0.9907906651496887
layer_head,0/13,46,0.9571568888166676,0.914914608001709,0.9766165614128113
layer_head,0/14,46,0.9687103797560153,0.9306157231330872,0.9941970705986023
layer_head,0/15,46,0.9835610920968263,0.9581340551376343,0.995520830154419
layer_head,0/16,46,0.9359456585801166,0.8932009339332581,0.9791658520698547
layer_head,0/17,46,0.96292561163073,0.8503121137619019,0.9951349496841431
layer_head,0/18,46,0.8626078315403151,0.7314680218696594,0.9997442960739136
layer_head,0/19,46,0.789398871038271,0.6642669439315796,0.9357410073280334
layer_head,0/2,46,0.9526280048100845,0.8741160035133362,0.9997634887695312
layer_head,0/20,46,0.8597008287906647,0.7383002042770386,0.9965531826019287
